id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via
745082,2026-01-11,domingo,20:40:00,RS,116.0,"39,6",vacaria,-28.516705,-50.937424,8.0,0.0,0.0,Com Vítimas Feridas,Sim,Velocidade Incompatível,Saída de leito carroçável,Plena Noite,Céu Claro,Simples,Reta,Sim,Decrescente
745083,2026-01-11,domingo,20:30:00,BA,415.0,"52,4",itabuna,-14.841971,-39.33187,1.0,2.0,0.0,Com Vítimas Feridas,Sim,Ingestão de álcool pelo condutor,Colisão lateral sentido oposto,Plena Noite,Céu Claro,Simples,Reta,Sim,Crescente
745084,2026-01-11,domingo,20:50:00,RS,392.0,67,pelotas,-31.756044,-52.400005,0.0,0.0,0.0,Sem Vítimas,Sim,Reação tardia ou ineficiente do condutor,Colisão traseira,Plena Noite,Céu Claro,Dupla,Interseção de Vias,Sim,Crescente
745085,2026-01-11,domingo,21:07:00,SP,116.0,198,aruja,-23.401297,-46.30898,0.0,0.0,0.0,Sem Vítimas,Sim,Ausência de reação do condutor,Colisão traseira,Plena Noite,Ignorado,Dupla,Reta,Não,Crescente
745086,2026-01-11,domingo,19:15:00,RJ,493.0,78,japeri,-22.66471,-43.560234,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Dupla,Reta,Não,Decrescente
745087,2026-01-11,domingo,20:10:00,PR,369.0,117,jataizinho,-23.284607,-50.8715,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Capotamento,Plena Noite,Nublado,Dupla,Aclive,Não,Crescente
745089,2026-01-11,domingo,20:30:00,MG,40.0,518,ribeirao das neves,-19.83187,-44.081722,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Colisão traseira,Plena Noite,Céu Claro,Dupla,Declive;Reta,Sim,Decrescente
745090,2026-01-11,domingo,21:00:00,BA,116.0,424,feira de santana,-12.239273,-38.982044,0.0,6.0,0.0,Com Vítimas Feridas,Não,Pedestre - Ingestão de álcool/ substâncias psicoativas,Atropelamento de Pedestre,Plena Noite,Céu Claro,Dupla,Reta,Sim,Crescente
745091,2026-01-11,domingo,20:55:00,PA,308.0,177,tracuateua,-1.149745,-46.960373,9.0,6.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Simples,Reta,Sim,Decrescente
745092,2026-01-11,domingo,20:20:00,PE,232.0,180,belo jardim,-8.345165,-36.430923,9.0,0.0,0.0,Com Vítimas Feridas,Não,Ingestão de álcool pelo condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Simples,Reta,Sim,Crescente
745093,2026-01-11,domingo,19:20:00,MG,50.0,"7,7",araguari,-18.463076,-48.04984,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Demais falhas mecânicas ou elétricas,Tombamento,Plena Noite,Céu Claro,Dupla,Reta,Não,Decrescente
745094,2026-01-11,domingo,17:14:00,RO,364.0,"244,6",cacoal,-11.439812,-61.511818,3.0,0.0,0.0,Com Vítimas Feridas,Não,Chuva,Colisão lateral sentido oposto,Pleno dia,Chuva,Simples,Declive;Reta,Não,Crescente
745095,2026-01-11,domingo,19:30:00,RN,226.0,"87,5",tangara,-6.216835,-35.822456,0.0,2.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Capotamento,Plena Noite,Céu Claro,Simples,Curva,Não,Decrescente
745096,2026-01-11,domingo,21:35:00,RS,386.0,"435,3",nova santa rita,-29.847721,-51.27095,0.0,0.0,0.0,Sem Vítimas,Não,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Plena Noite,Nublado,Dupla,Interseção de Vias;Retorno Regulamentado,Não,Decrescente
745097,2026-01-11,domingo,19:55:00,RN,304.0,"280,2",macaiba,-5.888791,-35.489166,0.0,0.0,2.0,Com Vítimas Fatais,Sim,Acumulo de areia ou detritos sobre o pavimento,Colisão com objeto,Plena Noite,Céu Claro,Dupla,Curva;Viaduto,Não,Decrescente
