id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via,osm_total_elementos,osm_tipos
652550,2025-01-01,quarta-feira,12:40:00,MG,365.0,607,uberlandia,-18.922459,-48.184486,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Pleno dia,Céu Claro,Simples,Reta,Não,Crescente,0,{}
652551,2025-01-01,quarta-feira,13:00:00,SC,101.0,132,balneario camboriu,-26.996542,-48.655647,1.0,1.0,0.0,Com Vítimas Feridas,Sim,Ingestão de álcool pelo condutor,Colisão traseira,Pleno dia,Céu Claro,Dupla,Reta,Sim,Crescente,20,"{'crossing': 15, 'traffic_signals': 3, 'hump': 1, 'bus_stop': 1}"
652552,2025-01-01,quarta-feira,12:35:00,RS,392.0,"285,4",sao sepe,-30.28694,-53.540497,0.0,0.0,0.0,Sem Vítimas,Sim,Reação tardia ou ineficiente do condutor,Colisão transversal,Pleno dia,Sol,Simples,Declive;Reta,Não,Crescente,0,{}
652554,2025-01-01,quarta-feira,08:30:00,MG,381.0,428,caete,-19.788855,-43.70614,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Acumulo de água sobre o pavimento,Colisão lateral sentido oposto,Pleno dia,Nublado,Simples,Reta,Não,Decrescente,0,{}
652555,2025-01-01,quarta-feira,13:30:00,RS,290.0,"27,1",santo antonio da patrulha,-29.880135,-50.514297,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Demais falhas mecânicas ou elétricas,Saída de leito carroçável,Pleno dia,Céu Claro,Dupla,Reta,Não,Crescente,0,{}
652557,2025-01-01,quarta-feira,09:30:00,MT,70.0,"42,3",barra do garcas,-15.769086,-52.578075,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Capotamento,Pleno dia,Céu Claro,Simples,Reta,Não,Crescente,0,{}
652558,2025-01-01,quarta-feira,13:52:00,MG,381.0,482,betim,-19.958828,-44.07543,2.0,0.0,0.0,Com Vítimas Feridas,Não,Velocidade Incompatível,Colisão com objeto,Pleno dia,Céu Claro,Dupla,Declive;Reta,Sim,Crescente,2,{'bus_stop': 2}
652559,2025-01-01,quarta-feira,09:20:00,MG,40.0,"78,3",paracatu,-17.452774,-46.67703,0.0,6.0,0.0,Com Vítimas Feridas,Não,Acostamento em desnível,Colisão com objeto,Pleno dia,Nublado,Simples,Reta,Não,Crescente,0,{}
652560,2025-01-01,quarta-feira,13:20:00,SC,101.0,157,porto belo,-27.181625,-48.612118,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Velocidade Incompatível,Colisão lateral mesmo sentido,Pleno dia,Céu Claro,Dupla,Reta,Sim,Decrescente,0,{}
652561,2025-01-01,quarta-feira,14:00:00,MG,50.0,155,uberaba,-19.608257,-48.021984,0.0,0.0,0.0,Sem Vítimas,Sim,Demais falhas mecânicas ou elétricas,Incêndio,Pleno dia,Sol,Dupla,Reta,Não,Crescente,0,{}
